model_name,dropout,filtres_1,filtres_2,kernel_1,kernel_2,activation_1,activation_2,activation_3,epochs_effectuees,best_val_loss,best_val_acc,test_loss,test_acc
"conv_16softmax-32relu_dropout_0.5relu_kernel_(2, 2)_(2, 2)",0.5,16,32,"(2, 2)","(2, 2)",softmax,relu,relu,4,2.204341411590576,0.4350000023841858,2.195990800857544,0.14589999616146088
"conv_16softmax-32softmax_dropout_0.5relu_kernel_(2, 2)_(2, 2)",0.5,16,32,"(2, 2)","(2, 2)",softmax,softmax,relu,4,2.1749215126037598,0.1541111171245575,2.1691904067993164,0.156700000166893
"conv_16softmax-32softmax_dropout_0.5softmax_kernel_(2, 2)_(2, 2)",0.5,16,32,"(2, 2)","(2, 2)",softmax,softmax,softmax,9,0.05006381869316101,0.9860000014305115,0.04315083473920822,0.9858999848365784
"conv_16relu-32relu_dropout_0.5relu_kernel_(3, 3)_(2, 2)",0.5,16,32,"(3, 3)","(2, 2)",relu,relu,relu,4,2.299001932144165,0.3807777762413025,2.2993674278259277,0.09939999878406525
"conv_16relu-32relu_dropout_0.5softmax_kernel_(3, 3)_(2, 2)",0.5,16,32,"(3, 3)","(2, 2)",relu,relu,softmax,10,0.041049450635910034,0.9885555505752563,0.04131823778152466,0.987500011920929
"conv_16relu-32softmax_dropout_0.5relu_kernel_(3, 3)_(2, 2)",0.5,16,32,"(3, 3)","(2, 2)",relu,softmax,relu,4,2.297978639602661,0.10100000351667404,2.297755718231201,0.10010000318288803
"conv_16softmax-32relu_dropout_0.5relu_kernel_(3, 3)_(2, 2)",0.5,16,32,"(3, 3)","(2, 2)",softmax,relu,relu,4,2.3025832176208496,0.30311110615730286,2.30259108543396,0.09799999743700027
"conv_16relu-32softmax_dropout_0.5softmax_kernel_(3, 3)_(2, 2)",0.5,16,32,"(3, 3)","(2, 2)",relu,softmax,softmax,7,0.03933418542146683,0.9890000224113464,0.03353693336248398,0.9890000224113464
"conv_16softmax-32relu_dropout_0.5relu_kernel_(3, 3)_(2, 2)",0.5,16,32,"(3, 3)","(2, 2)",softmax,relu,relu,4,2.123957872390747,0.5987777709960938,2.1688358783721924,0.15839999914169312
"conv_16softmax-32softmax_dropout_0.5relu_kernel_(3, 3)_(2, 2)",0.5,16,32,"(3, 3)","(2, 2)",softmax,softmax,relu,3,2.165634870529175,0.201222226023674,2.1360812187194824,0.20659999549388885
"conv_16softmax-32softmax_dropout_0.5softmax_kernel_(3, 3)_(2, 2)",0.5,16,32,"(3, 3)","(2, 2)",softmax,softmax,softmax,12,0.03966141492128372,0.988777756690979,0.03527579829096794,0.9879000186920166
"conv_16relu-32relu_dropout_0.5relu_kernel_(4, 4)_(3, 3)",0.5,16,32,"(4, 4)","(3, 3)",relu,relu,relu,5,2.2475826740264893,0.3602222204208374,2.247328281402588,0.12200000137090683
"conv_16relu-32relu_dropout_0.5softmax_kernel_(4, 4)_(3, 3)",0.5,16,32,"(4, 4)","(3, 3)",relu,relu,softmax,11,0.039052579551935196,0.9896666407585144,0.028683125972747803,0.9901999831199646
